_id,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
51,Alkoholunfälle,insgesamt,2020,Summe,430.0,434.0,,-0.92,
52,Alkoholunfälle,insgesamt,2020,202001,28.0,22.0,-20,27.27,37
53,Alkoholunfälle,insgesamt,2020,202002,40.0,28.0,42.86,42.86,38
54,Alkoholunfälle,insgesamt,2020,202003,27.0,34.0,-32.5,-20.59,37
55,Alkoholunfälle,insgesamt,2020,202004,26.0,36.0,-3.7,-27.78,36
56,Alkoholunfälle,insgesamt,2020,202005,40.0,39.0,53.85,2.56,36
57,Alkoholunfälle,insgesamt,2020,202006,49.0,40.0,22.5,22.5,37
58,Alkoholunfälle,insgesamt,2020,202007,58.0,48.0,18.37,20.83,38
59,Alkoholunfälle,insgesamt,2020,202008,46.0,31.0,-20.69,48.39,39
60,Alkoholunfälle,insgesamt,2020,202009,46.0,47.0,0,-2.13,39
61,Alkoholunfälle,insgesamt,2020,202010,34.0,45.0,-26.09,-24.44,38
62,Alkoholunfälle,insgesamt,2020,202011,23.0,29.0,-32.35,-20.69,38
63,Alkoholunfälle,insgesamt,2020,202012,13.0,35.0,-43.48,-62.86,36
64,Alkoholunfälle,insgesamt,2019,Summe,434.0,398.0,,9.05,
65,Alkoholunfälle,insgesamt,2019,201901,22.0,22.0,4.76,0,33
66,Alkoholunfälle,insgesamt,2019,201902,28.0,24.0,27.27,16.67,34
67,Alkoholunfälle,insgesamt,2019,201903,34.0,32.0,21.43,6.25,34
68,Alkoholunfälle,insgesamt,2019,201904,36.0,25.0,5.88,44,35
69,Alkoholunfälle,insgesamt,2019,201905,39.0,34.0,8.33,14.71,35
70,Alkoholunfälle,insgesamt,2019,201906,40.0,39.0,2.56,2.56,35
71,Alkoholunfälle,insgesamt,2019,201907,48.0,51.0,20,-5.88,35
72,Alkoholunfälle,insgesamt,2019,201908,31.0,40.0,-35.42,-22.5,34
73,Alkoholunfälle,insgesamt,2019,201909,47.0,36.0,51.61,30.56,35
74,Alkoholunfälle,insgesamt,2019,201910,45.0,43.0,-4.26,4.65,35
75,Alkoholunfälle,insgesamt,2019,201911,29.0,31.0,-35.56,-6.45,35
76,Alkoholunfälle,insgesamt,2019,201912,35.0,21.0,20.69,66.67,36
77,Alkoholunfälle,insgesamt,2018,Summe,398.0,409.0,,-2.69,
78,Alkoholunfälle,insgesamt,2018,201801,22.0,19.0,-47.62,15.79,34
79,Alkoholunfälle,insgesamt,2018,201802,24.0,22.0,9.09,9.09,35
80,Alkoholunfälle,insgesamt,2018,201803,32.0,36.0,33.33,-11.11,34
81,Alkoholunfälle,insgesamt,2018,201804,25.0,26.0,-21.88,-3.85,34
82,Alkoholunfälle,insgesamt,2018,201805,34.0,29.0,36,17.24,35
83,Alkoholunfälle,insgesamt,2018,201806,39.0,41.0,14.71,-4.88,34
84,Alkoholunfälle,insgesamt,2018,201807,51.0,52.0,30.77,-1.92,34
85,Alkoholunfälle,insgesamt,2018,201808,40.0,30.0,-21.57,33.33,35
86,Alkoholunfälle,insgesamt,2018,201809,36.0,47.0,-10,-23.4,34
87,Alkoholunfälle,insgesamt,2018,201810,43.0,32.0,19.44,34.38,35
88,Alkoholunfälle,insgesamt,2018,201811,31.0,33.0,-27.91,-6.06,35
89,Alkoholunfälle,insgesamt,2018,201812,21.0,42.0,-32.26,-50,33
90,Alkoholunfälle,insgesamt,2017,Summe,409.0,301.0,,35.88,
91,Alkoholunfälle,insgesamt,2017,201701,19.0,21.0,-5,-9.52,25
92,Alkoholunfälle,insgesamt,2017,201702,22.0,10.0,15.79,120,26
93,Alkoholunfälle,insgesamt,2017,201703,36.0,20.0,63.64,80,27
94,Alkoholunfälle,insgesamt,2017,201704,26.0,27.0,-27.78,-3.7,27
95,Alkoholunfälle,insgesamt,2017,201705,29.0,25.0,11.54,16,28
96,Alkoholunfälle,insgesamt,2017,201706,41.0,30.0,41.38,36.67,28
97,Alkoholunfälle,insgesamt,2017,201707,52.0,35.0,26.83,48.57,30
98,Alkoholunfälle,insgesamt,2017,201708,30.0,34.0,-42.31,-11.76,30
99,Alkoholunfälle,insgesamt,2017,201709,47.0,29.0,56.67,62.07,31
100,Alkoholunfälle,insgesamt,2017,201710,32.0,30.0,-31.91,6.67,31
